n/a;code;condition;event;#eventalt;ini;type;prio;group;reuse;speaker;voice;#;English(en);Bulgarian(bg)
;emp_S_0062;;lvl_emp;;pc;vn;1001;;TRUE;Clo;empC_S_0062;;(..обрезать нить покороче?);
;emp_hbven_S_0002;has_boon_ven;lvl_emp;;pc;vn;1000;emp_hbven;TRUE;Lachi;empL_hbven_S_0002_A;;Огонь, вообще-то, весьма предсказуем. Эм.. о-он всегда делает одно и то же.; 
;~;;;;;;;;;Aisa;empA_hbven_S_0002_B;;Как и наша Лето — вечно заботится о вас, смертных.; 
;emp_hbtim_S_0002;has_boon_tim;lvl_emp;;pc;vn;1000;emp_hbtim;FALSE;Lachi;empL_hbtim_S_0002_A;;Мы не можем прочесть Время.. так что эм.. он меня немного пугает.;
;~;;;;;;;;;Aisa;empA_hbtim_S_0002_B;;Да ты своей тени боишься! Не обращай внимания на мою сестру, ей не нравится всё, чего она не может предвидеть.;
;~;;;;;;;;;Lachi;empL_hbtim_S_0002_C;;Это неправда!! Я обожа-;
;~;;;;;;;;;Aisa;empA_hbtim_S_0002_D;;Исключение! Аномалия. Это не всерьёз. Ты не можешь чувствовать настоящее.;
;~;;;;;;;;;Lachi;empL_hbtim_S_0002_E;;Но я-;
;~;;;;;;;;;Aisa;empA_hbtim_S_0002_F;;О, привет, герой! Кажется, мы чуть не забыли, что ты здесь. Так куда ты держишь путь?;
;con_M_0001;;lvl_core_con;;pc;vn;1;;FALSE;Conquest0;con_M_0001;;Герой, я поручаю тебе победить Смерть. В награду дарую тебе свою силу. Теперь подчиняйся!;
;con_S_0001;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0001;;Что лучше всего в жизни, герой? Сокрушить врагов своих.;
;con_S_0002;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0002;;Доверяй лишь стали в своих руках, герой!;
;con_S_0003;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0003;;Завоевание и Слава!;
;con_S_0004;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0004;;Не дрогни! Слабые — бегут.;
;con_S_0005;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0005;;В тебе столько решимости. Это я одобряю!;
;con_S_0006;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0006;;Помни о нашей сделке. Не подведи меня, смертный.;
;con_S_0007;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0007;;Я даровал тебе огромную силу — в самом Владении Смерти. Жду результатов!;
;con_S_0008;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0008;;Если бы я сражался рядом с тобой…;
;con_S_0009;;lvl_con;;pc;vn;1001;;TRUE;Conquest;con_S_0009;;Хочешь узнать мою цель? К чёрту! Смертный, который канючит у богов, — не более чем червь под их ногами!;
;con_S_0012;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0012;;Хватит болтать! Исполни свой долг передо мной, смертный.;
;con_S_0013;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0013;;Смерть Смерти!;
;con_S_0014;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0014;;Смерть должна умереть!;
;con_S_0015;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0015;;В бой!; 
;con_S_0016;;lvl_con;;pc;vn;1000;;TRUE;Conquest;con_S_0016;;Не смей переходить мне дорогу!; 
;con_S_0017;;lvl_con;;pc;vn;1000;;TRUE;Conquest;con_S_0017;;Ах, смертный с отвагой! Посмотрим, дороже ли ты грязи, по которой топчешься!; 
;con_S_0018;;lvl_con;;pc;vn;1000;;TRUE;Conquest;con_S_0018;;Путь к победе усеян павшими.; 
;con_S_0019;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0019;;Вперёд!; 
;con_S_0020;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0020;;Время убивать!; 
;con_S_0021;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0021;;Слушай меня и подчиняйся!; 
;con_S_0022;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0022;;Пора окрасить поле боя в красный!; 
;con_S_0023;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0023;;Пусть дрогнет земля!; 
;con_S_0025;;lvl_con;;pc;vn;1002;;TRUE;Conquest;con_S_0025;;Вечный азарт битвы! Ах, вот это жизнь, смертный.;
;con_S_0026;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0026;;Никакой пощады!;
;con_S_0027;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0027;;Мне нравится твоё упорство, смертный. Но придётся добиться большего, чтобы заслужить моё уважение!;
;con_S_0028;;lvl_con;;pc;vn;1003;;TRUE;Conquest;con_S_0028;;Бог войны только один. Не забывай об этом, если метишь выше.;
;con_S_0029;;lvl_con;;pc;vn;1002;;TRUE;Conquest;con_S_0029;;Помни: без меня ты ничто.;
;con_S_0030;;lvl_con;;pc;vn;1004;;TRUE;Conquest;con_S_0030;;Война — единственный настоящий жнец.;
;con_S_0031;;lvl_con;;pc;vn;1002;;TRUE;Conquest;con_S_0031;;Война никогда не меняется.;
;con_hbemp_S_0001;has_boon_emp;lvl_con;;pc;vn;1001;con_hbemp;TRUE;Conquest;con_hmph;;И ты теперь куёшь себе путь сам? Только не говори мне о Мойрах. Назойливые маленькие проказницы.;
;con_hbemp_S_0002;has_boon_emp;lvl_con;;pc;vn;1000;con_hbemp;TRUE;Conquest;con_hbemp_S_0002;;Осторожнее с судьбой, смертный. Вы всего лишь люди. Боги диктуют ваши пути. Не вы. И не эти мерзкие всезнайки.;
;con_hbemp_S_0003;has_boon_emp;lvl_con;;pc;vn;1001;con_hbemp;TRUE;Conquest;con_laugh6;;Ты выберешь собственную Судьбу вопреки богам? Глупость. Но у нас уговор. Выбирай, смертный.;
;con_hbven_S_0001;has_boon_ven;lvl_con;;pc;vn;1001;con_hbven;TRUE;Conquest;con_laugh5;;Лето — куда более свирепая женщина, чем её сестра. И огонь, и кровь — оба на твоей стороне.;
;con_hbmor_S_0001;has_boon_mor;lvl_con;;pc;vn;1001;con_hbmor;TRUE;Conquest;con_hbmor_S_0001;;Ты позволишь этой змее зашептать в своё ухо и принять её милость? Дочь самой Смерти метит на его место. Ха!;
;~;;;;;;;;;Conquest;con_hbmor_S_0002;;Посмотрим, кто в итоге завоюет трон из черепов, женщина.;
;con_hbser_S_0002;has_boon_ser;lvl_con;;pc;vn;1000;con_hbser;TRUE;Conquest;con_hbser_S_0002;;Подарок от самой Зимы. Так ты собираешься осаждать, а не биться в открытую? Трусость. Сейчас покажу, как это делает настоящий воин!;
;con_hbtim_S_0001;has_boon_tim;lvl_con;;pc;vn;1000;con_hbtim;TRUE;Conquest;con_laugh4;;Ничего не замечающее Время дарит мне шанс размозжить Смерти череп. Прекрасно, когда есть свой человек внутри, не так ли? Честь — для людей, смертный. Боги завоёвывают любыми средствами.;
;con_hbjus_S_0002;has_boon_jus;lvl_con;;pc;vn;1001;con_hbjus;TRUE;Conquest;con_hbjus_S_0002;;На поле боя нет Справедливости.;
;con_hbjus_S_0003;has_boon_jus;lvl_con;;pc;vn;1001;con_hbjus;TRUE;Conquest;con_hbjus_S_0003;;Справедливость лучше всего вершить мечом палача.;
;con_hbjus_S_0004;has_boon_jus;lvl_con;;pc;vn;1001;con_hbjus;TRUE;Conquest;con_hbjus_S_0004;;Пусть Леди пишет свой приговор чернилами, а мы прольём его кровью.;
;ven_M_0001;;lvl_core_ven;;pc;vn;1;;FALSE;Vengeance0;ven_M_0001_A;;Эй, это ведь тебе Время вручил свои песочные часы, да?;
;~;;;;;;;;FALSE;Vengeance0;ven_M_0001_B;;Ну, что бы это ни было, — я всегда первая, кто помогает смертным! Так что позволь подставить плечо!;
;ven_M_0002;;lvl_core_ven;;pc;vn;2;;FALSE;Vengeance;ven_M_0002;;О, я, кстати, Лето. Богиня всего горячего — огонь, вулканы, ну, ты понял.;
;ven_S_0001;;lvl_ven;;pc;vn;1000;;TRUE;Vengeance;ven_S_0001;;Дай им почувствовать жар. Ну, тем из них, кто способен.;
;ven_S_0002;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0002;;Поддавай жару!;
;ven_S_0003;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0003;;Огоньку не нужно?;
;ven_S_0004;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0004;;Пылает!;
;ven_S_0005;;lvl_ven;;pc;vn;1000;;FALSE;Vengeance;ven_S_0005;;Хаос был бы в восторге! Эх, если бы они могли это увидеть..;
;ven_S_0006;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0006;;Обожаю твою настойчивость!;
;ven_S_0008;;lvl_ven;;pc;vn;1002;;TRUE;Vengeance;ven_S_0008;;Опять это «зачем»? Я всегда помогала смертным — как думаешь, кто подарил им огонь?;
;ven_S_0009;;lvl_ven;;pc;vn;1001;;TRUE;Vengeance; ven_S_0009;;Почему я это делаю? Что, теперь ещё и причина нужна, чтобы что-нибудь поджечь?;
;ven_S_0010;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0010;;Здесь так зябко. Давай-ка поскорее закончим.;
;ven_S_0011;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0011;;Вся моя семья — сплошной холод. Зато я — просто огонь.;
;ven_S_0012;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0012;;Пусть он почувствует жар!;
;ven_S_0013;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0013;;Теплеет!;
;ven_S_0014;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0014;;Что выбираешь, смельчак?;
;ven_S_0015;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0015;;Мне вообще-то всё равно, что тут творится, я просто слежу за твоей историей, знаешь!;
;ven_S_0016;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0016;;Ты умеешь не сдаваться, ничего не скажешь.;
;ven_S_0017;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0017;;Кости — в пепел!;
;ven_S_0018;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0018;;Разогрелись!;
;ven_S_0019;;lvl_ven;;pc;vn;1000;;TRUE;Vengeance;ven_S_0019;;Какая же легенда без огня и вселенского хаоса?; 
;ven_S_0020;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0020;;Тебе этого, конечно, не занимать, но немного жару не помешает.;
;ven_S_0021;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0021;;Просто следуй зову сердца.;
;ven_S_0022;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0022;;О, привет!;
;ven_S_0023;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0023;;Да ты в огне!;
;ven_S_0024;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0024;;Лето пришло!;
;ven_S_0025;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0025;;Я — поджигатель!;
;ven_S_0026;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0026;;Играешь с огнём, да?;
;ven_S_0027;;lvl_ven;;pc;vn;1003;;TRUE;Vengeance;ven_S_0027;;Осторожно, я горячая!;
;ven_hbser_S_0001;has_boon_ser;lvl_ven;;pc;vn;1000;ven_hbser;TRUE;Vengeance;ven_hbser_S_0001;;Тебе правда нужна помощь Зимы? Я разве недостаточно хороша?; 
;ven_hbser_S_0002;has_boon_ser;lvl_ven;;pc;vn;1000;ven_hbser;TRUE;Vengeance;ven_hbser_S_0002;;О, дары моей сестры. Ладно, хорошо, видимо, изредка нужно и остывать. Не быть же вечно раскалённой, как я.;
;ven_hbser_S_0003;has_boon_ser;lvl_ven;;pc;vn;1000;ven_hbser;TRUE;Vengeance;ven_hbser_S_0003;;Мои дары куда круче, чем у Зимы.;
;ven_hbser_S_0004;has_boon_ser;lvl_ven;;pc;vn;1001;ven_hbser;TRUE;Vengeance;ven_hbser_S_0004;;Лето ты предпочитаешь зиме, правда?;
;ven_hbser_S_0005;has_boon_ser;lvl_ven;;pc;vn;1001;ven_hbser;FALSE;Vengeance;ven_hbser_S_0005_A;;Я ведь думала, что и Зима меня прикроет… А потом она предала меня! Родную сестру!;
;~;;;;;;;;;~;ven_hbser_S_0005_B;;…И это лишь верхушка того айсберга…;
;ven_hbtim_S_0001;has_boon_tim;lvl_ven;;pc;vn;1000;ven_hbtim;TRUE;Vengeance;ven_hbtim_S_0001;;Время бывает немного унылым, лучше развлекись — поиграй с огнём!;
;ven_hbtim_S_0002;has_boon_tim;lvl_ven;;pc;vn;1000;ven_hbtim;TRUE;Vengeance;ven_hbtim_S_0002;;Время — это сплошные правила вселенной, но даже они решили подсобить парой благословений, да?;
;ven_hbjus_S_0001;has_boon_jus;lvl_ven;;pc;vn;1000;ven_hbjus;FALSE;Vengeance;ven_hbjus_S_0001;;Проблема закона в том, что у него нет сердца. Мне уже доводилось отвечать перед Справедливостью за свои поступки, и я бы сделала это снова.;
;ven_hbjus_S_0004;has_boon_jus;lvl_ven;;pc;vn;1009;ven_hbjus;FALSE;Vengeance;ven_hbjus_S_0004;;Когда встанешь лицом к лицу со Смертью, делай то, что считаешь правильным <b>ты</b>, а не то, чего хотят <b>они</b>!;
;mor_M_0001;;lvl_core_mor;;pc;vn;1;;FALSE;Mort0;mor_M_0001_A;;Столько помощи от остальных уже собрано, да? Но он наверняка не ждёт, что его же орудия обратятся против него. Я могу присоединиться?;
;~;;;;;;;;;Mort;mor_M_0001_B;;Да, я Морт, дочь Смерти. Но, тем не менее, я очень хочу увидеть его поверженным. Личные причины.;
;mor_S_0002;;lvl_mor;;pc;vn;1004;;TRUE;Mort;mor_curious;;Мне до жути любопытно, зачем помогают остальные. Но, пожалуй, спрошу как-нибудь в другой раз, у тебя, похоже, полно дел.;
;mor_S_0003;;lvl_mor;;pc;vn;1000;;TRUE;Mort;mor_S_0003;;Нужен серп против Косы? Серпы, вообще-то, эффективнее.;
;mor_S_0004;;lvl_mor;;pc;vn;1007;;TRUE;Mort;mor_huh;;Зачем я хочу, чтобы мой отец встретился со смертью, — не твоё дело.;
;mor_S_0005;;lvl_mor;;pc;vn;1008;;TRUE;Mort;mor_hmmmm3;;Ну, если тебе непременно нужно знать, считай это уроком воспитания. Ему надо вбить в голову немного здравого смысла.;
;mor_S_0006;;lvl_mor;;pc;vn;1001;;TRUE;Mort;mor_S_0006;;Я? На его трон? Нет. Хотя, если бы он мог хоть ненадолго устроить перерыв и разок выслушать.. было бы здорово.;
;mor_S_0009;;lvl_mor;;pc;vn;1002;;TRUE;Mort;mor_S_0009;;Знаешь, некоторые говорят: Смерть — это только начало? На достаточно долгой шкале времени это правда. Жаль лишь, что отец не хочет этого видеть..;
;mor_S_0010;;lvl_mor;;pc;vn;1003;;TRUE;Mort;mor_S_0010;;Они там просто сидят. В урнах! Целую вечность! А он не понимает. Он просто не понимает жизни и смерти, понимаешь.;
;mor_S_0012;;lvl_mor;;pc;vn;1002;;TRUE;Mort; mor_ahaa;;Интересно было видеть Время в таком замешательстве. Оно ведь никогда раньше не общалось со смертными.;
;mor_S_0013;;lvl_mor;;pc;vn;1000;;TRUE;Mort;mor_S_0013;;Жнец не прислушивается к жатве. Так что, пожалуй, давно пора начать.;
;mor_S_0016;;lvl_mor;;pc;vn;1006;;TRUE;Mort;mor_S_0016;;В вас, смертных, живёт такая искра. Мой отец никогда не мог её разглядеть…;
;mor_S_0020;;lvl_mor;;pc;vn;1004;;TRUE;Mort;mor_S_0020;;Как тебе это место? По-моему, у него есть потенциал. Правда, обычно тут куда спокойнее.;
;mor_S_0022;;lvl_mor;;pc;vn;1005;;TRUE;Mort;mor_S_0022;;Расти здесь было не так уж плохо... Но когда я выбралась наружу, я поняла, какой красочной бывает жизнь… Теперь на всё иначе смотришь.;
;mor_S_0023;;lvl_mor;;pc;vn;1006;;TRUE;Mort;mor_S_0023;;Мир без смерти!;
;mor_S_0024;;lvl_mor;;pc;vn;1002;;TRUE;Mort;mor_S_0024;;Прости, пап.;
;mor_S_0025;;lvl_mor;;pc;vn;1004;;TRUE;Mort;mor_S_0025;;Смерть — это лишь… начало.;
;mor_S_0026;;lvl_mor;;pc;vn;1006;;TRUE;Mort;mor_S_0026;;Смерть — не конец.;
;mor_hbemp_S_0005;has_boon_emp;lvl_mor;;pc;vn;1010;mor_hbemp;FALSE;Mort;mor_hmmmm;;Если можно, скажу так: порой мне кажется, что я одна из нас, богов, способна осмыслить смертность.;
;~;;;;;;;;;~;;;И всё же, думаю, Мойры понимают ваши тяготы больше, чем показывают.;
;mor_hbcon_S_0001;has_boon_con;lvl_mor;;pc;vn;1000;mor_hbcon;TRUE;Mort;mor_hiagain3;;Я верю, что Завоевание может измениться к лучшему, если он сосредоточится на своих сильных сторонах. Целеустремлённость — прекрасное качество. Хотя ты точно будешь использовать его таланты благороднее.;
;mor_hbcon_S_0002;has_boon_con;lvl_mor;;pc;vn;1000;mor_hbcon;TRUE;Mort;mor_hiagain3;;Пока сила, взятая у Завоевания, идёт на благо, полагаю, всё в порядке.;
;mor_hbven_S_0001;has_boon_ven;lvl_mor;;pc;vn;1000;mor_hbven;FALSE;Mort;mor_hmmmm2;;Лето, как всегда, первая спешит на помощь! Интересно, ведёт ли она счёт мифам смертных, в которых поучаствовала...;
;mor_hbven_S_0002;has_boon_ven;lvl_mor;;pc;vn;1000;mor_hbven;TRUE;Mort;mor_hmmmm2;;Лето всегда была ко мне очень добра. Приятно знать, что она прикроет и тебя.;
;mor_hbser_S_0001;has_boon_ser;lvl_mor;;pc;vn;1000;mor_hbser;FALSE;Mort;mor_huh;;Знаешь, с некоторыми богами стоит быть поосторожнее. Они бросят тебя, когда ты им наскучишь.;
;mor_hbser_S_0002;has_boon_ser;lvl_mor;;pc;vn;1000;mor_hbser;FALSE;Mort;mor_huh;;Мой отец никогда не был любителем поболтать, но доводил свои обязанности до конца — не то что некоторые боги.;
;~;;;;;;;;;~;;;Недавние события... из ряда вон выходящие.;
;mor_hbjus_S_0001;has_boon_jus;lvl_mor;;pc;vn;1000;mor_hbjus;FALSE;Mort;mor_iwonder3;;Ты знаешь, что Леди Справедливость сделала с Летом? Я слышала только легенды, меня тогда ещё не было. Но я бы ей не доверяла.;
;ser_M_0001;;lvl_core_ser;;pc;vn;1;;FALSE;Serenity;ser_M_0001_ALT;;Чувствуешь? Обжигающий укус мороза, чарующие объятия холода? Я — Зима, и я пришла очаровать это суровое место своей красотой.;
;ser_S_0001;;lvl_ser;;pc;vn;1002;;TRUE;Serenity;ser_S_0001;;Каждый год я неустанно творю самые великолепные пейзажи, а Смерть распугивает всех. О, если бы хоть одна зима обошлась без него…;
;ser_S_0002;;lvl_ser;;pc;vn;1000;;TRUE;Serenity;ser_S_0002;;Когда приходит моя пора, всё живое дрожит и прячется. Как смертные могут ценить мою красоту, когда над ними нависла его Коса?;
;ser_S_0003;;lvl_ser;;pc;vn;1005;;TRUE;Serenity;ser_S_0003;;Да, у нас с ним кое-что было.. Но это в прошлом. Кончилось ещё в последний ледниковый период.;
;ser_S_0005;;lvl_ser;;pc;vn;1006;;TRUE;Serenity;ser_S_0005_A;;Милый, если вдруг найдёшь там это белоснежное ожерелье.. А знаешь что, неважно, пусть оставит себе, мне-то что.;
;~;;;;;;;;;~;ser_S_0005_B;;Это было давным-давно.;
;ser_S_0006;;lvl_ser;;pc;vn;1004;;TRUE;Serenity;ser_S_0006_ALT2;;А внизу, правда, зябко, да? Хотя, по-своему, прелестно..;
;ser_S_0007;ven_M_0001;lvl_ser;;pc;vn;1001;;TRUE;Serenity;ser_S_0007;;Лето? Да, она моя сестра, и я предпочла бы её не обсуждать.;
;ser_S_0008;con_M_0001;lvl_ser;;pc;vn;1001;;TRUE;Serenity;ser_S_0008;;Смерть и правда вышла за рамки. Забирать смертных до их срока.. Леди Справедливость не обрадуется.;
;ser_S_0009;;lvl_ser;;pc;vn;1004;;TRUE;Serenity;ser_S_0009;;Посмотрим, как ему понравится вечная мерзлота в его владении!;
;ser_S_0010;;lvl_ser;;pc;vn;1007;;TRUE;Serenity;ser_S_0010;;Зима становится холоднее.;
;ser_S_0012;;lvl_ser;;pc;vn;1004;;TRUE;Serenity;ser_S_0012;;Шуба из стужи тебе, дорогуша.;
;ser_S_0013;;lvl_ser;;pc;vn;1007;;TRUE;Serenity;ser_S_0013;;Лёд — красота, верно?;
;ser_S_0014;;lvl_ser;;pc;vn;1003;;TRUE;Serenity;ser_S_0014_ALT;;Его сердце холоднее моего... а я и есть сама зима.;
;ser_S_0015;;lvl_ser;;pc;vn;1004;;TRUE;Serenity;ser_S_0015;;Когда доберёшься до Смерти, передай ему от меня привет.;
;ser_S_0016;;lvl_ser;;pc;vn;1007;;TRUE;Serenity;ser_S_0016;;Передай ему от меня привет.;
;ser_S_0017;;lvl_ser;;pc;vn;1004;;TRUE;Serenity;ser_S_0017;;Пусть холод моих прикосновений обнимет его владения.;
;ser_S_0018;;lvl_ser;;pc;vn;1007;;TRUE;Serenity;ser_S_0018;;Укрась его дом немного моим снегом, хорошо?;
