n/a;code;condition;event;ini;type;prio;group;reuse;speaker;voice;#;English(en)                        | (2nd row after this ingame);Bulgarian(bg)
;~;;;;;;;;kni;;;Myself.;
;~;;;;;;;;sor;;;!;
;~;;;;;;;;sor;;;Mighty selfish of a knight in shining armor :p;
;~;;;;;;;;kni;;;We're not all as noble as you, Merris.;
;~;;;;;;;;sor;;;Was that a joke >.< ?! That's new! ^^;
;knisor_M_0006;seen_VampireLord;talk_kni,talk_sor;kni,sor;conv;6;knisor_conv;FALSE;kni;;;My turn to ask now. What's your reason?;
;~;;;;;;;;sor;;;Just trying to find a fool I knew.;
;~;;;;;;;;kni;;;Then we'll see it done.;
;knisor_M_0007;!kill_VampireLord;talk_kni,talk_sor;kni,sor;conv;7;knisor_conv;FALSE;kni;;;So who is it?;
;~;;;;;;;;sor;;;?;
;~;;;;;;;;kni;;;The person you are trying to find.;
;~;;;;;;;;kni;;;I should look for them while I'm down there.;
;~;;;;;;;;sor;;;Uhh… You'll spot him for sure -.-;
;~;;;;;;;;kni;;;How so?;
;~;;;;;;;;sor;;;He's a pompous loud annoying bard!! And a fool!;
;~;;;;;;;;kni;;;Oh, so he works two jobs?;
;~;;;;;;;;sor;;;A proper fool! And a worse bard!!;
;~;;;;;;;;kni;;;Sounds like he's worth facing Death over.;
;~;;;;;;;;sor;;;Friends right?;
;knisor_M_0008;kill_VampireLord;talk_kni,talk_sor;kni,sor;conv;8;knisor_conv;FALSE;sor;;;When I find Rhet, I'm gonna send him back myself.;
;~;;;;;;;;kni;;;What made you so mad at your friend?;
;~;;;;;;;;sor;;;He wrote a song for the Fates, asking them to cut a piece of his own life string.;
;~;;;;;;;;sor;;;To use it for his lute, so he could make music from the "soul"!!;
;~;;;;;;;;sor;;;It’s hard to believe, but Lachi loved this artsy bullshit and agreed -.-;
;~;;;;;;;;kni;;;So that's how he ended up down there.;
;~;;;;;;;;sor;;;Not quite. It's a long story...;
;knisor_M_0009;kill_VampireLord;talk_kni,talk_sor;kni,sor;conv;9;knisor_conv;FALSE;kni;;;So why did the Fates take away Rhet's life?;
;~;;;;;;;;sor;;;They didn't. He assured me he still had a lot of string left…;
;~;;;;;;;;sor;;;...Yet he was gone shortly after.;
;~;;;;;;;;kni;;;Collected by Death, prematurely.;
;~;;;;;;;;sor;;;Yes, and I'm breaking my friend out!;
;~;;;;;;;;kni;;;And I'll be there to help you.;
;~;;;;;;;;sor;;;^^;
;knisor_S_0001;;talk_kni,talk_sor;kni,sor;conv;1000;knisor_conv;FALSE;sor;;;It's unfortunate we only have one hourglass :p;
;~;;;;;;;;kni;;;THE one and only Hourglass of Time itself though.;
;~;;;;;;;;sor;;;Yea… but I'll bet side by side we would stand a better chance.;
;~;;;;;;;;kni;;;Only one chance though.;
;knisor_S_0002;;talk_kni,talk_sor;kni,sor;conv;1000;knisor_conv;TRUE;sor;;;I wish this place wasn't so gloomy.;
;~;;;;;;;;kni;;;Well, it's only the entrance to Death's realm after all.;
;knisor_S_0003;;talk_kni,talk_sor;kni,sor;conv;1001;knisor_conv;FALSE;sor;;;Have you seen these murals?;
;~;;;;;;;;kni;;;Yes, I've been trying to decipher them.;
;~;;;;;;;;sor;;;I can comprehend some of the words.;
;~;;;;;;;;kni;;;Great! I've been keeping a journal actually.;
;~;;;;;;;;kni;;;Maybe you should add what you can find to it.;
;~;;;;;;;;sor;;;Oh!! We're writing a book together??;
;~;;;;;;;;kni;;;An instruction manual for killing Death rather.;
;knisor_S_0004;;talk_kni,talk_sor;kni,sor;conv;1002;knisor_conv;FALSE;sor;;;The hieroglyphs here describe the Underworld as a sort of layer of circles…;
;~;;;;;;;;kni;;;And I bet I know what's at the center.;
;~;;;;;;;;sor;;;Unless he's out working :X;
;knisor_S_0005;;talk_kni,talk_sor;kni,sor;conv;1003;knisor_conv;FALSE;sor;;;<b>Naturally</b>, things get tougher the further inwards you go btw :S;
;~;;;;;;;;sor;;;If my readings are correct that is >.>;
;~;;;;;;;;sor;;;Apparently, his minions are empowered by their vicinity to his presence…;
;~;;;;;;;;kni;;;Means we'll know when he's close then.;
;~;;;;;;;;kni;;;Good.;
;knisor_S_0006;;talk_kni,talk_sor;kni,sor;conv;1004;knisor_conv;TRUE;sor;;;Who would look cooler as a skelly - you or me :?;
;~;;;;;;;;kni;;;You, definitely.;
;~;;;;;;;;sor;;;How so??;
;~;;;;;;;;kni;;;A flying skeleton, how can I match that?;
;~;;;;;;;;sor;;;It's just hovering!! >.<;
;~;;;;;;;;kni;;;Still looks cool to me.;
;knisorA_S_0001;last_run_fail;talk_kni,talk_sor;kni;conv;1002;knisor_conv;TRUE;sor;;;Hey, how did it go :?;
;~;;;;;;;;kni;;;Couldn't find him.;
;knisorA_S_0002;last_run_fail;talk_kni,talk_sor;kni;conv;1002;knisor_conv;TRUE;sor;;;Any luck :?;
;~;;;;;;;;kni;;;Not yet.;
;knisorA_S_0003;last_run_fail;talk_kni,talk_sor;kni;conv;1002;knisor_conv;TRUE;kni;;;Failed again.;
;~;;;;;;;;sor;;;Let me try :?;
;knisorA_S_0004;last_run_fail;talk_kni,talk_sor;kni;conv;1002;knisor_conv;TRUE;sor;;;No luck I presume.;
;~;;;;;;;;kni;;;No need to gloat.;
;~;;;;;;;;sor;;;I wasn't gloating.;
;~;;;;;;;;sor;;;Really, I'm not. heh ^^;
;knisorA_S_0005;last_run_fail;talk_kni,talk_sor;kni;conv;1002;knisor_conv;TRUE;sor;;;Failed!!;
;~;;;;;;;;kni;;;You mock me.;
;~;;;;;;;;sor;;;Just trying to encourage you :);
;knisorA_S_0006;last_run_fail;talk_kni,talk_sor;kni;conv;1003;knisor_conv;TRUE;sor;;;So… what's up?;
;~;;;;;;;;kni;;;You're not going to mock me over my failure?;
;~;;;;;;;;sor;;;Not in the mood.;
;knisorA_S_0007;last_run_fail;talk_kni,talk_sor;kni;conv;1002;knisor_conv;TRUE;sor;;;No luck! And even less skill!!;
;~;;;;;;;;kni;;;Less than 0?;
;~;;;;;;;;sor;;;^^;
;knisorB_S_0001;last_run_fail;talk_kni,talk_sor;sor;conv;1002;knisor_conv;TRUE;sor;;;Ok so I failed. And?;
;~;;;;;;;;kni;;;I didn't say anything.;
;knisorB_S_0002;last_run_fail;talk_kni,talk_sor;sor;conv;1002;knisor_conv;TRUE;sor;;;What are you smiling about?;
;~;;;;;;;;kni;;;How would you know?;
;~;;;;;;;;sor;;;I can see it in your eyes :p;
;~;;;;;;;;sor;;;I'll get him next time you know :!;
;knisorB_S_0003;last_run_fail;talk_kni,talk_sor;sor;conv;1003;knisor_conv;TRUE;sor;;;My mind was preoccupied, that's why I failed!;
;~;;;;;;;;kni;;;Your mind was busy with other matters while you were in the heat of combat with hundreds of skeletal minions?;
;~;;;;;;;;sor;;;Yes! I wasn't looking.;
;~;;;;;;;;kni;;;At the monsters slashing in front of you?;
;~;;;;;;;;sor;;;>.< !!;
;knisorB_S_0004;last_run_fail;talk_kni,talk_sor;sor;conv;1004;knisor_conv;TRUE;kni;;;What's the excuse this time?;
;~;;;;;;;;sor;;;!!;
;~;;;;;;;;sor;;;No excuse, I lost plain and simple.;
;~;;;;;;;;sor;;;But if I'm being honest, the gods slipped me up a bit this time >.>;
;knisorB_S_0005;last_run_fail;talk_kni,talk_sor;sor;conv;1002;knisor_conv;TRUE;sor;;;It's just one failure!!;
;~;;;;;;;;kni;;;Yes. In a line of hundreds to come.;
;~;;;;;;;;sor;;;Not gonna be mines though :!;
;knisorB_S_0006;last_run_fail;talk_kni,talk_sor;sor;conv;1002;knisor_conv;TRUE;sor;;;I didn't fail, I just didn't succeed.;
;~;;;;;;;;kni;;;Got closer then?;
;~;;;;;;;;sor;;;Y-yes.;
;kniass_M_0001;;talk_kni,talk_ass;kni,ass;conv;1;kniass_conv;FALSE;kni;;;Hi, I'm Avoron.;
;~;;;;;;;;ass;;;not interested.;
;kniass_M_0002;;talk_kni,talk_ass;kni,ass;conv;2;kniass_conv;FALSE;kni;;;How goes it?;
;~;;;;;;;;ass;;;what do u want?;
;~;;;;;;;;kni;;;A conversation?;
;~;;;;;;;;ass;;;sry, I'm out of those. go check with merris;
;kniass_M_0003;;talk_kni,talk_ass;kni,ass;conv;3;kniass_conv;FALSE;kni;;;How do you do?;
;~;;;;;;;;ass;;;go fish someplace else;
;~;;;;;;;;kni;;;Wait, I wasn't… never mind.;
;kniass_M_0004;;talk_kni,talk_ass;kni,ass;conv;4;kniass_conv;FALSE;kni;;;Look, I think we got off on the wrong foot.;
;~;;;;;;;;ass;;;must have been yours;
;~;;;;;;;;kni;;;I'll… leave you alone then.;
;kniass_M_0005;;talk_kni,talk_ass;kni,ass;conv;5;kniass_conv;FALSE;ass;;;hey, sorry for my attitude earlier. I'm nixi.;
;~;;;;;;;;kni;;;Avoron. Apology accepted of course.;
;~;;;;;;;;ass;;;how knightly of you.;
;kniass_M_0006;kill_VampireLord;talk_kni,talk_ass;kni,ass;conv;6;kniass_conv;FALSE;ass;;;we got the baron at least;
;~;;;;;;;;kni;;;Just a stepping stone.;
;kniass_S_0001;;talk_kni,talk_ass;kni,ass;conv;1000;kniass_conv;TRUE;kni;;;How do you do Nixi?;
;~;;;;;;;;ass;;;cold.;
;kniass_S_0004;;talk_kni,talk_ass;kni,ass;conv;1001;kniass_conv;FALSE;ass;;;ever take that helmet off?;
;~;;;;;;;;kni;;;'Bit unusual of you to ask the questions.;
;~;;;;;;;;ass;;;.;
;kniassA_S_0001;last_run_fail;talk_kni,talk_ass;kni;conv;1002;kniass_conv;TRUE;ass;;;'sup?;
;~;;;;;;;;kni;;;Failure.;
;~;;;;;;;;ass;;;take a break maybe?;
;kniassA_S_0002;last_run_fail;talk_kni,talk_ass;kni;conv;1003;kniass_conv;TRUE;ass;;;you only come to me cuz I won't mock you like merris;
;~;;;;;;;;kni;;;Which is why I could use some encouragement!;
;~;;;;;;;;ass;;;...go fish someplace else.;
;knibar_M_0001;;talk_kni,talk_bar;kni,bar;conv;1;knibar_conv;FALSE;bar;;;I pass, metal man. I go kill Death.;
;~;;;;;;;;kni;;;Wait! You will only find your own death in there.;
;~;;;;;;;;kni;;;Even if the legends about you are true.;
;~;;;;;;;;bar;;;Ha! You know me.;
;~;;;;;;;;kni;;;I know <i>of</i> you. You are Kront, the Barbarian.;
;~;;;;;;;;bar;;;Who are you?;
;~;;;;;;;;kni;;;I'm a knight of the Order of Penance.;
;~;;;;;;;;kni;;;Allow me to explain what's going on here...;
;~;;;;;;;;@fade;;;;
;knibar_M_0002;;talk_kni,talk_bar;kni,bar;conv;2;knibar_conv;FALSE;bar;;;So why you kill Death?;
;~;;;;;;;;kni;;;It is what knights do.;
;~;;;;;;;;bar;;;Ha! You gullible, but good heart.;
;~;;;;;;;;bar;;;We be friends, I know.;
;knibar_M_0003;seen_VampireLord;talk_kni,talk_bar;kni,bar;conv;3;knibar_conv;FALSE;bar;;;So Avoron, how you find goddess of Penance?;
;~;;;;;;;;kni;;;You know of her?;
;~;;;;;;;;bar;;;I… I dumber than I look.;
;~;;;;;;;;bar;;;Smarter! I mean to say.;
;~;;;;;;;;bar;;;I travel a lot, knight. Know worldly knowledge.;
;~;;;;;;;;kni;;;You know, you don't look that dumb!;
;~;;;;;;;;bar;;;Ha, no need lie.;
;knibar_S_0001;;talk_kni,talk_bar;kni,bar;conv;1002;knibar_conv;FALSE;bar;;;What gods you pray to, knight?;
;~;;;;;;;;kni;;;Those that protect.;
;~;;;;;;;;bar;;;I prayed to Krom. He is strong in his mountain.;
;knibar_S_0002;;talk_kni,talk_bar;kni,bar;conv;1001;knibar_conv;FALSE;bar;;;Do you know riddle related to steel?;
;~;;;;;;;;kni;;;No, sorry.;
;knibar_S_0003;;talk_kni,talk_bar;kni,bar;conv;1002;knibar_conv;TRUE;bar;;;Death think he so big, but he not see my axe.;
;~;;;;;;;;kni;;;Yea... I'm sure he's chilled to the bone.;
;knibar_S_0004;;talk_kni,talk_bar;kni,bar;conv;1003;knibar_conv;FALSE;bar;;;Who paint all this on walls?;
;~;;;;;;;;kni;;;How should I know?;
;~;;;;;;;;bar;;;Vandals probably.;
;knibar_S_0005;;talk_kni,talk_bar;kni,bar;conv;1004;knibar_conv;TRUE;bar;;;Do you learn riddle related to steel?;
;~;;;;;;;;kni;;;Working on it.;
;knibar_S_0006;;talk_kni,talk_bar;kni,bar;conv;1000;knibar_conv;TRUE;bar;;;I don't need trinket to win.;
;~;;;;;;;;bar;;;But is dishonorable to reject gift. So I use.;
;~;;;;;;;;kni;;;Glad that you do Kront.;
;knibarA_S_0001;last_run_fail;talk_kni,talk_bar;kni;conv;1001;knibar_conv;TRUE;bar;;;You need to try not fail, Av.;
;~;;;;;;;;kni;;;Yeah, my bad. I must have forgotten to try.;
;knibarA_S_0002;last_run_fail;talk_kni,talk_bar;kni;conv;1002;knibar_conv;FALSE;bar;;;Time give clock to you? I wonder why.;
;~;;;;;;;;kni;;;It's an hourglass, Kront.;
;knibarA_S_0003;last_run_fail;talk_kni,talk_bar;kni;conv;1003;knibar_conv;TRUE;bar;;;If you return so quick you probably fail.;
;~;;;;;;;;kni;;;So you're counting my time now?;
;~;;;;;;;;bar;;;No, I can'ts count. Just know in bones you fail.;
;knibarA_S_0004;last_run_fail;talk_kni,talk_bar;kni;conv;1004;knibar_conv;TRUE;bar;;;I mock so you try harder, prove dumb barbarian wrong. But no result.;
;~;;;;;;;;bar;;;So I belief you can do this time.;
;~;;;;;;;;kni;;;I think I prefer your mockery.;
;knibarA_S_0005;last_run_fail;talk_kni,talk_bar;kni;conv;1005;knibar_conv;TRUE;bar;;;Who put more salt in wounds after failure – Merri or I?;
;~;;;;;;;;kni;;;Sorry, I'm gonna go with Merris.;
;~;;;;;;;;bar;;;See, we both losers then.;
;knibarA_S_0006;last_run_fail;talk_kni,talk_bar;kni;conv;1006;knibar_conv;TRUE;bar;;;By look on face, I see you fail.;
;~;;;;;;;;kni;;;You can see through metal now huh?;
;~;;;;;;;;bar;;;No need, you always fail.;
;knibarB_S_0001;last_run_fail;talk_kni,talk_bar;bar;conv;1001;knibar_conv;TRUE;kni;;;Didn't go well?;
;~;;;;;;;;bar;;;Didn't find well, got thirsty, came back.;
;~;;;;;;;;kni;;;A brilliant excuse.;
;knibarB_S_0002;last_run_fail;talk_kni,talk_bar;bar;conv;1002;knibar_conv;TRUE;bar;;;Start mock, Av. I wait.;
;~;;;;;;;;kni;;;I'm not one to mock, I believe you can do it.;
;~;;;;;;;;kni;;;Given an eternity.;
;knibarB_S_0003;last_run_fail;talk_kni,talk_bar;bar;conv;1003;knibar_conv;TRUE;kni;;;Lost your direction in there?;
;~;;;;;;;;bar;;;Bad scoff, I hunt every day, bring you food to camp.;
;~;;;;;;;;bar;;;Hunter can't lose directions.;
;~;;;;;;;;kni;;;Sensitive topic then.;
;knibarB_S_0004;last_run_fail;talk_kni,talk_bar;bar;conv;1004;knibar_conv;TRUE;bar;;;No comment on how big barbarian too dumb to win?;
;~;;;;;;;;kni;;;You forgot an "is". So maybe you really should read a few books with Merris.;
;~;;;;;;;;bar;;;This not first language.;
;~;;;;;;;;bar;;;You need read book with fancy elf, become smart like I.;
;~;;;;;;;;kni;;;Fair burn.;
;knibarB_S_0005;last_run_fail;talk_kni,talk_bar;bar;conv;1005;knibar_conv;TRUE;kni;;;Had fun losing at least?;
;~;;;;;;;;bar;;;Play for game, not score.;
;knibarB_S_0006;last_run_fail;talk_kni,talk_bar;bar;conv;1006;knibar_conv;TRUE;kni;;;Pillage anything useful at least?;
;~;;;;;;;;bar;;;You find in chest.;
;knibarB_S_0007;last_run_fail;talk_kni,talk_bar;bar;conv;1005;knibar_conv;TRUE;bar;;;Is human to make mistake.;
;~;;;;;;;;kni;;;Said the orc.;
;~;;;;;;;;bar;;;See? I very good at language!;
;kniwar_M_0001;;talk_kni,talk_war;kni,war;conv;1;kniwar_conv;FALSE;war;;;Hi, I'm Skadi.;
;~;;;;;;;;kni;;;Avoron, a pleasure.;
;~;;;;;;;;war;;;I've heard of you I think.;
;~;;;;;;;;war;;;The noble of Eridus, weren't you the one who?…;
;~;;;;;;;;kni;;;My doing, yes.;
;~;;;;;;;;war;;;Wow.;
;~;;;;;;;;kni;;;You don't approve?;
;~;;;;;;;;war;;;On the contrary…;
;kniwar_M_0002;;talk_kni,talk_war;kni,war;conv;2;kniwar_conv;FALSE;kni;;;I apologize, but I am not familiar with your feats.;
;~;;;;;;;;war;;;Don't have any. Yet.;
;~;;;;;;;;kni;;;Oh. Going after Death seems a bit?…;
;~;;;;;;;;war;;;Rash?;
;~;;;;;;;;war;;;I once repelled a dragon for going after my reindeer.;
;~;;;;;;;;kni;;;Ah, yes. You're a highlander alright.;
;kniwar_S_0001;;talk_kni,talk_war;kni,war;conv;1000;kniwar_conv;FALSE;war;;;Have you seen him, down there?;
;~;;;;;;;;kni;;;I don't think he'll show his face to us.;
;~;;;;;;;;kni;;;I doubt he even knows of us.;
;~;;;;;;;;war;;;We've entered into his realm!;
;~;;;;;;;;kni;;;Plenty do.;
;~;;;;;;;;kni;;;It's those that leave with something that are written about.;
;kniwar_S_0002;;talk_kni,talk_war;kni,war;conv;1001;kniwar_conv;FALSE;war;;;What are you scribing?;
;~;;;;;;;;kni;;;Keeping a journal on everything we learn.;
;~;;;;;;;;war;;;Can I have a look?;
;~;;;;;;;;kni;;;It's not quite ready yet, but here.;
;~;;;;;;;;war;;;The illustrations are pretty.;
;~;;;;;;;;kni;;;Just sketches.;
;kniwar_S_0003;;talk_kni,talk_war;kni,war;conv;1002;kniwar_conv;FALSE;war;;;I used to paint mountains back home.;
;~;;;;;;;;kni;;;Hmm, I mostly use pencils.;
;~;;;;;;;;kni;;;Better for travelling.;
;~;;;;;;;;war;;;A seasoned adventurer's trick.;
;~;;;;;;;;kni;;;If we don't count that time I wish I had rations instead.;
;kniran_M_0001;;talk_kni,talk_ran;kni,ran;conv;1;kniran_conv;FALSE;ran;;;So you were the first to come here?;
;~;;;;;;;;kni;;;Yes.;
;~;;;;;;;;ran;;;Not to be rude, but how come it's always the human?;
;~;;;;;;;;kni;;;The gods must really like us.;
;~;;;;;;;;ran;;;Or hate you.;
;~;;;;;;;;kni;;;Or that. Hmm...;
;kniranB_S_0001;last_run_fail;talk_kni,talk_ran;ran;conv;1001;kniran_conv;TRUE;kni;;;Would you like me to swap you?;
;~;;;;;;;;kni;;;You could use a rest.;
;~;;;;;;;;ran;;;I'm perfectly fine, thank you very much.;
;kniranB_S_0006;last_run_fail;talk_kni,talk_ran;ran;conv;1001;kniran_conv;TRUE;ran;;;Shouldn't you offer to swap me out?;
;~;;;;;;;;kni;;;I'm busy writing right now.;
;knidru_M_0001;;talk_kni,talk_dru;kni,dru;conv;1;knidru_conv;FALSE;kni;;;I didn't think the gods would call on the aid of a druid.;
;~;;;;;;;;dru;;;You think the gods summoned me here?;
;~;;;;;;;;kni;;;So it would seem.;
;~;;;;;;;;dru;;;Is there a knight who isn't a slave to faith?;
;~;;;;;;;;dru;;;That shine on your armor blind all of you or just the serfs?;
;~;;;;;;;;kni;;;And are all druids shackled by animalism?;
;~;;;;;;;;dru;;;You know nothing of nature.;
;~;;;;;;;;dru;;;Do not speak of it.;
;knidru_M_0002;;talk_kni,talk_dru;kni,dru;conv;2;knidru_conv;FALSE;kni;;;Why come here, druid?;
;~;;;;;;;;dru;;;Revenge.;
;~;;;;;;;;kni;;;Straightforward. I appreciate the honesty.;
;knidru_M_0003;;talk_kni,talk_dru;kni,dru;conv;3;knidru_conv;FALSE;kni;;;I don't think we ever officially met. I'm Avoron.;
;~;;;;;;;;dru;;;Leaf.;
;~;;;;;;;;kni;;;Got that out of the way then.;
;knidru_M_0004;;talk_kni,talk_dru;kni,dru;conv;4;knidru_conv;FALSE;kni;;;Revenge is often a product of injustice.;
;~;;;;;;;;kni;;;Is my assumption correct, Leaf?;
;~;;;;;;;;dru;;;There is no Justice for mortals.;
;~;;;;;;;;dru;;;You know what really fuels revenge?;
;~;;;;;;;;dru;;;Think on it. Might help you break the shackles.;
;knidru_S_0001;;talk_kni,talk_dru;kni,dru;conv;1000;knidru_conv;FALSE;dru;;;Your gods are fools. But you are the circus clown for putting your faith in them.;
;~;;;;;;;;kni;;;I'm not surprised that you've never met a clown, wildling.;
;~;;;;;;;;kni;;;Thank you for the compliment!;
;knidru_S_0002;;talk_kni,talk_dru;kni,dru;conv;1000;knidru_conv;FALSE;kni;;;You reject the gods, yet take their blessings.;
;~;;;;;;;;dru;;;Never refuse a free lunch.;
;knidruA_S_0001;last_run_fail;talk_kni,talk_dru;kni;conv;1001;knidru_conv;FALSE;dru;;#;You've left your nature behind.;
;~;;;;;;;;dru;;#;Why wouldn't it abandon you?;
;~;;;;;;;;dru;;#;You've failed of course. And you will continue to.;
;~;;;;;;;;kni;;#;I would like to believe there is more to our nature than survival and battle.;
;~;;;;;;;;dru;;#;Seeing is believing. Nothing else.;
;knidruA_S_0002;last_run_fail;talk_kni,talk_dru;kni;conv;1001;knidru_conv;TRUE;dru;;#;You wouldn't survive a day in the wilderness.;
;~;;;;;;;;dru;;#;What made you think you'd make it through hell, city boy?;
;~;;;;;;;;kni;;#;Quite cold for a hell. Not sure that's the one people fear.;
;~;;;;;;;;dru;;#;Yet we've both seen where their souls truly end up.;
;knidruA_S_0003;last_run_fail;talk_kni,talk_dru;kni;conv;1001;knidru_conv;FALSE;dru;;#;Another failed roll of the dice? And you say the gods favor you.;
;~;;;;;;;;kni;;#;I wouldn't be here if they didn't. Don't bite the hand that feeds you.;
;~;;;;;;;;dru;;#;Don't hold your tongue. Next time finish the saying!;
;~;;;;;;;;dru;;#;To rebel against the masters? It's a compliment.;
;~;;;;;;;;dru;;#;Not that you'd understand, lapdog.;
;knidruB_S_0001;last_run_fail;talk_kni,talk_dru;dru;conv;1001;knidru_conv;TRUE;kni;;#;One cannot receive help if they do not ask for any.;
;~;;;;;;;;dru;;#;And yet the gods give it away freely.;
;knidruB_S_0002;last_run_fail;talk_kni,talk_dru;dru;conv;1001;knidru_conv;TRUE;kni;;#;Need a hand?;
;~;;;;;;;;dru;;#;Shut up, city boy!;
;sorass_M_0001;;talk_sor,talk_ass;sor,ass;conv;1;sorass_conv;FALSE;ass;;;who tf are u;
;~;;;;;;;;sor;;;I'm… Merris.;
;~;;;;;;;;ass;;;i meant what are u doing here;
;~;;;;;;;;sor;;;Well, if you insist on knowing, you're gonna have to stay awhile and listen...;
;~;;;;;;;;@fade;;;;
;sorass_M_0002;;talk_sor,talk_ass;sor,ass;conv;2;sorass_conv;FALSE;sor;;;You think we can beat Death?;
;~;;;;;;;;ass;;;i can. u i doubt;
;~;;;;;;;;sor;;;<.<;
;sorass_M_0003;;talk_sor,talk_ass;sor,ass;conv;3;sorass_conv;FALSE;sor;;;Happen to carry any cool books up here?;
;~;;;;;;;;ass;;;why tf would I carry books to the freezing peak of this goddamn mountain;
;~;;;;;;;;sor;;;You must be fun at parties >.>;
;~;;;;;;;;ass;;;says the bookworm.;
;sorass_M_0004;;talk_sor,talk_ass;sor,ass;conv;4;sorass_conv;FALSE;ass;;;what do u want again?;
;~;;;;;;;;sor;;;I was just thinking if you had my fire you wouldn't be so cold :>;
;~;;;;;;;;ass;;;ha-ha.;
;sorass_M_0005;;talk_sor,talk_ass;sor,ass;conv;5;sorass_conv;FALSE;sor;;;Hi Nixi!! I missed your warm personality!!!;
;~;;;;;;;;ass;;;and i missed ur clownery too.;
;~;;;;;;;;sor;;;So nice of you to say this!! ^^;
;~;;;;;;;;ass;;;y, im nice like that.;
;sorass_M_0006;;talk_sor,talk_ass;sor,ass;conv;6;sorass_conv;FALSE;ass;;;u kn…;
;~;;;;;;;;ass;;;ur not that bad, merris.;
;~;;;;;;;;sor;;;But I wanna be bad!! >.<;
;~;;;;;;;;ass;;;...scratch that.;
;sorass_S_0001;;talk_sor,talk_ass;sor,ass;conv;1000;sorass_conv;TRUE;sor;;;Hey ^^!;
;~;;;;;;;;ass;;;cant talk rn.;
;sorass_S_0003;;talk_sor,talk_ass;sor,ass;conv;1000;sorass_conv;FALSE;sor;;;The murals in these halls are incredible!;
;~;;;;;;;;ass;;;yeah, I guess they're well drawn.;
;~;;;;;;;;sor;;;No, I mean what they are about!;
;~;;;;;;;;ass;;;i'm more of an art than a story person.;
;~;;;;;;;;sor;;;-.-;
;sorass_S_0004;;talk_sor,talk_ass;sor,ass;conv;1000;sorass_conv;TRUE;sor;;;How goes it Nixi :3?;
;~;;;;;;;;ass;;;u rly have nothing better to do, y?;
